pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,sy_dist,sy_disterr1,sy_disterr2,rowupdate
BD+48 738 b,1,1,Radial Velocity,2011,392.60000000,5.50000000,-5.50000000,0,1.000000,,,0,,,,,,,,,289.22530,,,0,0.91000,,,0,,,,,0.200000,0.100000,-0.100000,0,,,,,,,,,31.900,2.600,-2.600,0,,,,,,,,,871.4930000,43.8490000,-43.8490000,2015-08-12
BD+48 740 b,1,1,Radial Velocity,2018,733.00000000,5.00000000,-8.00000000,0,1.700000,0.100000,-0.100000,0,,,,,,,,,540.31100,222.48100,-222.48100,0,1.70000,0.70000,-0.70000,0,,,,,0.760000,0.050000,-0.090000,0,,,,,,,,,54.000,5.200,-8.000,0,,,,,,,,,666.5890000,21.5335000,-21.5335000,2018-02-01
BD+49 828 b,1,1,Radial Velocity,2015,2590.00000000,300.00000000,-180.00000000,0,4.200000,0.320000,-0.200000,0,,,,,,,,,508.50000,127.10000,-63.60000,0,1.60000,0.40000,-0.20000,0,,,,,0.350000,0.240000,-0.100000,0,,,,,,,,,18.800,6.200,-2.000,0,,,,,,,,,442.0420000,7.6540000,-7.6540000,2015-02-05
BD-10 3166 b,1,1,Radial Velocity,2000,3.48700000,0.00100000,-0.00100000,0,0.046000,,,0,,,,,,,,,152.55000,9.53000,-9.53000,0,0.48000,0.03000,-0.03000,0,,,,,0.050000,0.050000,-0.050000,0,,,,,,,,,60.600,1.000,-1.000,0,,,,,,,,,84.4069000,0.3537000,-0.3508000,2018-04-25
BD-10 3166 b,1,1,Radial Velocity,2000,3.48777000,0.00011000,-0.00011000,0,0.045200,0.002600,-0.002600,0,,,,,,,,,145.56000,12.39500,-12.39500,0,0.45800,0.03900,-0.03900,0,,,,,0.019000,0.023000,-0.023000,0,,,,,,,,,60.900,1.400,-1.400,0,,,,,,,,,84.4069000,0.3537000,-0.3508000,2018-04-25
BD-10 3166 b,1,1,Radial Velocity,2000,3.48777000,0.00011000,-0.00011000,0,0.040000,0.000000,0.000000,0,,,,,,,,,187.51970,22.24810,-22.24810,0,0.59000,0.07000,-0.07000,0,,,,,0.020000,0.020000,-0.020000,0,,,,,,,,,60.900,1.400,-1.400,0,,,,,,,,,84.4069000,0.3537000,-0.3508000,2018-09-04
BD-13 2130 b,1,1,Radial Velocity,2007,714.30000000,5.30000000,-5.30000000,0,2.100000,,,0,,,,,,,,,3368.99800,,,0,10.60000,,,0,,,,,0.210000,0.070000,-0.070000,0,,,,,,,,,137.600,9.100,-9.100,0,,,,,,,,,925.2140000,41.2110000,-41.2110000,2018-04-25
BD-13 2130 b,1,1,Radial Velocity,2007,714.29999000,5.30000000,-5.30000000,0,1.660000,0.120000,-0.120000,0,,,,,,,,,3108.37740,1449.30480,-1449.30480,0,9.78000,4.56000,-4.56000,0,,,,,0.210000,0.070000,-0.070000,0,,,,,,,,,137.600,9.100,-9.100,0,,,,,,,,,925.2140000,41.2110000,-41.2110000,2018-09-04
BD-17 63 b,1,1,Radial Velocity,2008,655.59998000,0.60000000,-0.60000000,0,1.340000,0.020000,-0.020000,0,,,,,,,,,905.81550,368.68280,-368.68280,0,2.85000,1.16000,-1.16000,0,,,,,0.540000,0.000000,0.000000,0,,,,,,,,,173.300,1.700,-1.700,0,,,,,,,,,34.4603000,0.0929000,-0.0924000,2019-09-04
BD-17 63 b,1,1,Radial Velocity,2008,655.60000000,0.60000000,-0.60000000,0,1.340000,0.020000,-0.020000,0,,,,,,,,,1620.90000,38.14000,-38.14000,0,5.10000,0.12000,-0.12000,0,,,,,0.540000,0.005000,-0.005000,0,,,,,,,,,173.300,1.700,-1.700,0,,,,,,,,,34.4603000,0.0929000,-0.0924000,2019-09-04
CFBDSIR J145829+101343 b,1,1,Imaging,2011,10037.50000000,2737.50000000,-2737.50000000,0,2.600000,0.300000,-0.300000,0,,,,,,,,,3337.10000,1430.20000,-1430.20000,0,10.50000,4.50000,-4.50000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-05-14
